ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
3,22,55,58.4,0
3,23,0,57.2,0
3,23,5,26.6,0
3,23,10,44.2,0
3,23,15,55.8,0
3,23,20,52.8,0
3,23,25,32.6,0
3,23,30,49.8,0
3,23,35,22.8,0
3,23,40,25.6,0
3,23,45,53.4,0
3,23,50,46.8,0
3,23,55,40.6,0
4,0,0,14.2,0
4,0,5,52,0
4,0,10,55.8,0
4,0,15,46,0
4,0,20,28.8,0
4,0,25,18,0
4,0,30,16.6,0
4,0,35,27.8,0
4,0,40,32.6,0
4,0,45,17.8,0
4,0,50,33.2,0
4,0,55,25.6,0
4,1,0,18,0
4,1,5,38.8,0
4,1,10,37.6,0
4,1,15,36.8,0
4,1,20,42.8,0
4,1,25,30.2,0
4,1,30,42.6,0
4,1,35,29.4,0
4,1,40,47.2,0
4,1,45,38.4,0
4,1,50,17,0
4,1,55,24.4,0
4,2,0,29.6,0
4,2,5,24.6,0
4,2,10,43.4,0
4,2,15,15.2,0
4,2,20,31.2,0
4,2,25,11,0
4,2,30,3.8,0
4,2,35,35,0
4,2,40,3,0
4,2,45,7.6,0
4,2,50,28,0
4,2,55,40.4,0
4,3,0,28,0
4,3,5,24.6,0
4,3,10,0,0
4,3,15,25.4,0
4,3,20,0,0
4,3,25,41.8,0
4,3,30,2.6,0
4,3,35,15.4,0
4,3,40,0,0
4,3,45,30.4,0
4,3,50,56,0
4,3,55,19.6,0
4,4,0,55.6,0
4,4,5,45.2,0
4,4,10,8.8,0
4,4,15,29,0
4,4,20,3.4,0
4,4,25,3.6,0
4,4,30,35.8,0
4,4,35,9,0
4,4,40,8.4,0
4,4,45,0,0
4,4,50,22.8,0
4,4,55,0,0
4,5,0,22.4,0
4,5,5,22.4,0
4,5,10,32.4,0
4,5,15,20.4,0
4,5,20,15.8,0
4,5,25,21.8,0
4,5,30,1.8,0
4,5,35,8.6,0
4,5,40,1.6,0
4,5,45,30,0
4,5,50,23.4,0
4,5,55,13.4,0
4,6,0,0,0
4,6,5,34.6,0
4,6,10,42.8,0
4,6,15,36.6,0
4,6,20,11.4,0
4,6,25,0,0
4,6,30,0,0
4,6,35,15.2,0
4,6,40,30.4,0
4,6,45,3.2,0
4,6,50,0,0
4,6,55,0,0
4,7,0,9.8,52.8
4,7,5,48.8,148.4
4,7,10,31.4,196.6
4,7,15,23.8,148.8
4,7,20,26.4,149.8
4,7,25,6.2,250.8
4,7,30,0,152
4,7,35,0,151.2
4,7,40,0,248.2
4,7,45,0,249.8
4,7,50,0,149.6
4,7,55,0,101.4
4,8,0,0,198.2
4,8,5,0,149.6
4,8,10,0,149.6
4,8,15,0,100.8
4,8,20,16.2,196.6
4,8,25,23.8,245.4
4,8,30,10.8,196
4,8,35,5.6,196.6
4,8,40,0,246
4,8,45,0,197.4
4,8,50,0,196.8
4,8,55,0,244
4,9,0,0,202.8
4,9,5,0,243.6
4,9,10,0,103.4
4,9,15,0,193.4
4,9,20,0,152
4,9,25,0,200
4,9,30,0,193.4
4,9,35,0,151.8
4,9,40,0,150.4
4,9,45,0,52
4,9,50,0,246.2
4,9,55,0,197.8
4,10,0,0,148.6
4,10,5,0,194
4,10,10,11,196.2
4,10,15,17.8,193.4
4,10,20,0,99.6
4,10,25,0,147.4
4,10,30,0,145.2
4,10,35,0,199
4,10,40,0,196.2
4,10,45,0,199.2
4,10,50,0,195.8
4,10,55,0,198.6
4,11,0,0,196.4
4,11,5,0,145.8
4,11,10,0,149.2
4,11,15,0,240
4,11,20,0,197.2
4,11,25,0,194.4
4,11,30,0,199.2
4,11,35,0,148.8
4,11,40,0,191.2
4,11,45,0,198
4,11,50,0,192.2
4,11,55,0,244.8
4,12,0,0,195
4,12,5,0,200.2
4,12,10,0,246.2
4,12,15,0,195.6
4,12,20,0,147.4
4,12,25,12.4,193.6
4,12,30,26,245.6
4,12,35,12.4,147.8
4,12,40,16,245.8
4,12,45,40.4,239.2
4,12,50,0,247.6
4,12,55,0,145.6
4,13,0,0,149
4,13,5,0,199.2
4,13,10,0,193.8
4,13,15,0,197
4,13,20,0,192
4,13,25,0,193.8
4,13,30,0,196
4,13,35,0,241.2
4,13,40,0,243
4,13,45,0,150.2
4,13,50,0,150.8
4,13,55,0,238.8
